,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId,content_cleaned,rule_based_label,model_confidence
5001,gp:AOqpTOHex4FhzEhyA-sRkyruba9ea-dUTORSEKPqQNQo3ypbBkYomuPix_QYscnj_7cujqx3sDGoMsCBVrLHQg,Todd Benton,https://play-lh.googleusercontent.com/a-/AOh14GiO5ajr0bZUOzhzm0Ogt1t7ZDvWFaHv-bsHXybwqA,"The most important feature of Google is the voice to text that enables us to not have to type on a tiny keyboard. I have been using it for years and it seems to just keep getting worse. Now when I'm writing an email and I say period or comma there is a space after them. I realize you're trying to automatically add periods but it's not there yet and just makes it frustrating. Also Google used to easily recognize names in my contacts but doesn't half the time. My wife is Christine, not Kristin.",2,700,12.1.9.23.arm64,2021-02-01 03:57:24,"Hi Todd. Thank you for reporting this issue. Can you please submit a feedback report and tell us a little bit more about what you're experiencing so we can investigate further? Open Google App - More (three-dot menu) - Send feedback, this will help us ensure that this gets reviewed by the right team. Thank you!",2021-02-01 04:12:35,most_relevant,com.google.android.googlequicksearchbox,the most important feature of google is the voice to text that enables us to not have to type on a tiny keyboard i have been using it for years and it seems to just keep getting worse now when im writing an email and i say period or comma there is a space after them i realize youre trying to automatically add periods but its not there yet and just makes it frustrating also google used to easily recognize names in my contacts but doesnt half the time my wife is christine not kristin,LOGIN_BUG,0.27976231417723596
62497,gp:AOqpTOFjVaFCWoi3vhvdSK4d_pY0juYJ9wOufrlJBK9WbBMemcLfRzGg9a6K7R07PuLZ-TjaU1oSMTJ7R_vG1Q,Brandon Solimini,https://play-lh.googleusercontent.com/a-/AOh14Gix66iqYB9YvvOa_1gXmMrgq8yNK0-LiJLpFQxflA,"Let's be honest. I was asked to rate an app my phone comes with. An app which has the basic function my Nokia 5190 from 23 years ago could easily do, SMS. Being asked to rate an SMS app does not instill confidence in the reliability of the product. Especially when it has yet to get my last name correct despite changing it in contacts, the phones user account, etc. So 2 stars for calling ME, the owner, the wrong name when viewing my own MMS messages.",2,2,7.1.084 (Hickory_RC10.phone_dynamic),2021-01-28 20:38:26,"Hi, Brandon. Thank you for taking the time to provide feedback. We're sorry to hear that. We'll pass this along to the team so they can continue iterating on your feedback to make Messages even better. We ask that you submit a feedback within the Messages app by clicking the Menu button then the 'Help and Feedback' tab and tap 'Send Feedback'.",2021-01-31 15:45:42,most_relevant,com.google.android.apps.messaging,lets be honest i was asked to rate an app my phone comes with an app which has the basic function my nokia 5190 from 23 years ago could easily do sms being asked to rate an sms app does not instill confidence in the reliability of the product especially when it has yet to get my last name correct despite changing it in contacts the phones user account etc so 2 stars for calling me the owner the wrong name when viewing my own mms messages,LOGIN_BUG,0.2823444261689083
48305,gp:AOqpTOGxJfcncGbvgVX1ebDQGZZ6JEfoWg0JbosILM3q6zZW6PyKB_FZ6WIUD2yRHJm4kouOyt8B4oRfxs9mCA,Hans Wilms,https://play-lh.googleusercontent.com/a-/AOh14GhHA3mylBfiGClKA-vf0I1070IMboFMlTw6nGDYOLI,"Incredibly frustrating, but such potential. I love all my smart home stuff and went google almost all the way. But the constant glitches really take me out of the experience. Casting spotify rarely works before music is ""detected on another device"". I seem to have to tell every command to the google minis. There is a delay with 80% of the commands. The accounts from smart devices like WeMo constantly log out or just don't work. Trying to cast my media sometimes just logs me off my WiFi.",3,48,2.32.1.5,2021-01-25 23:56:58,"Thanks for posting, Hans — we know this is important to you. Try rebooting your Google Nest devices for 2 minutes. Also, make sure your devices are on the same Wi-Fi network. For more help, reach out to our support team here: https://bit.ly/37kTIVI",2021-01-26 03:51:40,most_relevant,com.google.android.apps.chromecast.app,incredibly frustrating but such potential i love all my smart home stuff and went google almost all the way but the constant glitches really take me out of the experience casting spotify rarely works before music is detected on another device i seem to have to tell every command to the google minis there is a delay with 80 of the commands the accounts from smart devices like wemo constantly log out or just dont work trying to cast my media sometimes just logs me off my wifi,LOGIN_BUG,0.2832382417372235
34761,gp:AOqpTOHDcrOiT8_nbwzoXJZc0vHXqpKRhLxTo02-eG5yFajDyXLx7GmyYoZh0eCxBMzUGt8X-zbZy_Jfr10uWm8,x y,https://play-lh.googleusercontent.com/a-/AOh14Gga2iJhAMPiv6B58iIg0ZofBRnVpy45V01_m6VwQw,"Can't pick from your ""clipboard"" to paste anything when composing an email, figures you'd ruin more.... Across the board with all your apps you keep adding garbage and breaking things, and you NEVER ACTUALLY FIX BUGS OR LISTEN TO THE USERS YOU TAKE ADVANTAGE OF. Then there's the FAKE 5 STAR REVIEWS. We're not that stupid, axxholes.",1,6,2020.11.29.346182102.Release,2021-01-31 17:54:41,,,most_relevant,com.google.android.gm,cant pick from your clipboard to paste anything when composing an email figures youd ruin more across the board with all your apps you keep adding garbage and breaking things and you never actually fix bugs or listen to the users you take advantage of then theres the fake 5 star reviews were not that stupid axxholes,LOGIN_BUG,0.2844331364429593
40087,gp:AOqpTOE5g5We6Cdiz8Zyla2KJrOYOHSy50c34tBAiiLUoatx3L89a5Xi8HK3IjVHcsKqmw5gl7ubv3NrebDwOg,Legion of Comics,https://play-lh.googleusercontent.com/a-/AOh14Gh8akn2WyFcCe6UP3-Ul3r7UViLAwM3_59S7y2ALEM,"While watching movies it will buffer and stop the movie this happens multiple times over the course of the movie. Doesn't do this on any other streaming service. And yes, I'm on the correct account. These are movies out of my library.",3,9,4.21.36.22,2020-10-01 10:30:36,"That doesn't sound good. If your movie keeps buffering, is lagging, or isn't playing correctly, one of these troubleshooting solutions may fix the issue. These steps can help with most playback issues and errors: https://goo.gle/2PVuep3. If that doesn't fix the issue, get in touch with us here: https://goo.gle/2QyJZSb.",2020-10-01 11:04:28,most_relevant,com.google.android.videos,while watching movies it will buffer and stop the movie this happens multiple times over the course of the movie doesnt do this on any other streaming service and yes im on the correct account these are movies out of my library,LOGIN_BUG,0.2866793534287037
73160,gp:AOqpTOHwtmRXO7nIOQDk2hoBODX-FFbTtWnV_LD_-m32uHvCHUYJNMR374GAKMLrPUlyVW7gMLkLJ91gciHWrtM,Yuvy !,https://play-lh.googleusercontent.com/a-/AOh14Gi8bHYXPybrubgiF6LhDKx81ui9kUJMMv9cgjZNdA,"There's a bug where when the child is about to except the invitation to join the guardians family, it says ""settings has stopped"" And completely restarts/stops the process. I literally can't except the damn invitation. It sucks a lot. It also sucks that this is required for me to have this Google account or else it will be disabled. Because it's not even working.",1,116,flh.release.1.42.0.X.345476563,2020-12-16 06:13:37,,,most_relevant,com.google.android.apps.kids.familylinkhelper,theres a bug where when the child is about to except the invitation to join the guardians family it says settings has stopped and completely restartsstops the process i literally cant except the damn invitation it sucks a lot it also sucks that this is required for me to have this google account or else it will be disabled because its not even working,LOGIN_BUG,0.30291580409861996
56652,gp:AOqpTOH4BXxAxzgWlDOQTt394wRNoGJoSHzKcS1JKneZZs-VGSCuCZt2TC9OrszkFlmiEI6S4SW3nTwQ2jV_6w,Unbreakable360,https://play-lh.googleusercontent.com/a-/AOh14Ggu2n12qK0fwYI9r1_KsDu1Qhlzc_sckCwx5waUUJE,Useless when 2 step verification is on. You aren't able to log into your account from another device to track the phone. Works well to locate (if GPS is on) but needs remote control access to re-enable GPS when turned off as well as many other controls and features. it shouldn't send an alert when the phones has been tracked obviously the suspect would know they're being tracked and will probably just dump the phone somewhere or turn it off,2,1,2.4.033,2021-01-02 19:49:53,,,newest,com.google.android.apps.adm,useless when 2 step verification is on you arent able to log into your account from another device to track the phone works well to locate if gps is on but needs remote control access to reenable gps when turned off as well as many other controls and features it shouldnt send an alert when the phones has been tracked obviously the suspect would know theyre being tracked and will probably just dump the phone somewhere or turn it off,LOGIN_BUG,0.30940231137935187
42175,gp:AOqpTOHhfoZ8eGiL9_JCsvpeNps7rq9jFAX4jzq7tPh1W__cceh5B0TIxKtjeu_lNetN7gml1rK9RuomQYvBvQ,Bertha In Da Beats,https://play-lh.googleusercontent.com/a-/AOh14GhMJZ1fzkAI_8ajlRTSc9w-vsUnyEW4sJGF6U314w,This is just s buggy mess. It keeps scrolling down when scrolling up no matter what Even when i touch it it Scrolls up. And i can only scroll up. and nothing else. And also I'm unable to switch accounts for literally no reason. I only give this 2 stars cause it's not entirely unusable But it's on the verge of being completely unusable,2,18,16.01.36,2021-01-21 18:35:42,,,most_relevant,com.google.android.youtube,this is just s buggy mess it keeps scrolling down when scrolling up no matter what even when i touch it it scrolls up and i can only scroll up and nothing else and also im unable to switch accounts for literally no reason i only give this 2 stars cause its not entirely unusable but its on the verge of being completely unusable,LOGIN_BUG,0.3108490180311106
55551,gp:AOqpTOHP1AP54GAGhmCkXJr_u5nkyv8jXWcRMAQOwUtWUlYBZjkX4cX_sHdCF3CjuHWCwBGPCOJn8g4IAUo8TX8,Shad Byard,https://play-lh.googleusercontent.com/a-/AOh14Gjd95Pyuj22AzyQyL5W8KA7S4tonJYkTX51q3LZ0tM,So obvious my kids are playing around all the time I still have time to watch this fine piece of information they're very smart asses I think they are they got into Daddy's account and seen their mommy she's passed away very sad about the rain we had yesterday and spotted my car up,3,0,5.40.4,2020-11-23 07:24:25,,,most_relevant,com.google.android.apps.youtube.kids,so obvious my kids are playing around all the time i still have time to watch this fine piece of information theyre very smart asses i think they are they got into daddys account and seen their mommy shes passed away very sad about the rain we had yesterday and spotted my car up,LOGIN_BUG,0.3110172914103098
8903,gp:AOqpTOGfPN8cflIisenoPrEMpb3ARyHCJQZEwJG77xaIFUxu5xH2bn6iDirceD5JzKDpiiAyqrbn7KowoBfDEw,Normen natus,https://play-lh.googleusercontent.com/a-/AOh14GgwkKfUNG4pwCyN42GOPBUKKyFMrxe4WzODVmc3Lw,"My teacher put the lessons and quizzes dates on google calender at the beginning of the quarter of what we would be doing, however because our whole province has which to online learning until the 11th of January and has to move things around. I'm able to see what is we'll be doing for that day on the browser version of google calender, but I don't see anything he has put down for lessons and quizzes dates on the app version and I'm using the same account for both. Please fix this.",3,4,2020.46.4-344540244-release,2020-12-06 18:29:37,"Hi Normen, thanks for reporting. Have you tried these troubleshooting steps: https://goo.gle/37ZAO4p? If that doesn't help, please create a new thread in our Google Calendar Help Community for our experts to review: https://goo.gle/2QnxTMN.",2020-12-06 19:12:35,most_relevant,com.google.android.calendar,my teacher put the lessons and quizzes dates on google calender at the beginning of the quarter of what we would be doing however because our whole province has which to online learning until the 11th of january and has to move things around im able to see what is well be doing for that day on the browser version of google calender but i dont see anything he has put down for lessons and quizzes dates on the app version and im using the same account for both please fix this,LOGIN_BUG,0.31283395680524484
